src_id,wfs_id,object_id,VersieId,GeometrieMethode,GebouwStatus,area_m2,centroid_x,centroid_y,rank_area,south_usable_panel_area_m2,south_kwp,south_specific_yield,south_kwh_year,south_co2_tons_year,ew_usable_panel_area_m2,ew_kwp,ew_specific_yield,ew_kwh_year,ew_co2_tons_year,best_layout,best_kwh_year,best_co2_tons_year
Gebouw.20519074,https://data.vlaanderen.be/id/gebouw/20519074,20519074,2024-07-09 02:01:45,IngemetenGRB,Gerealiseerd,75581.31044659179,174150.531198904,175266.02218215656,1,45348.78626795507,11337.196566988767,1076.43,12203698.500603719,2806.8506551388555,45348.78626795507,11337.196566988767,886.125,10046173.30792292,2310.6198608222717,south,12203698.500603719,2806.8506551388555
Gebouw.19744197,https://data.vlaanderen.be/id/gebouw/19744197,19744197,2023-11-03 05:04:55,IngemetenGRB,Gehistoreerd,74099.16611713998,174149.00695616697,175269.40962276392,2,44459.499670283985,11114.874917570996,1076.43,11964384.807520948,2751.808505729818,44459.499670283985,11114.874917570996,886.125,9849168.5363326,2265.308763356498,south,11964384.807520948,2751.808505729818
Gebouw.14098173,https://data.vlaanderen.be/id/gebouw/14098173,14098173,2023-11-02 17:06:17,IngemetenGRB,Gehistoreerd,67593.23508033773,174142.91416807508,175279.42322004115,3,40555.941048202636,10138.985262050659,1076.43,10913907.905629192,2510.1988182947143,40555.941048202636,10138.985262050659,886.125,8984408.31533464,2066.4139125269676,south,10913907.905629192,2510.1988182947143
Gebouw.20591951,https://data.vlaanderen.be/id/gebouw/20591951,20591951,2025-06-17 05:23:05,IngemetenGRB,Gerealiseerd,64277.72433903354,171407.69219697607,174258.31065508857,4,38566.63460342013,9641.658650855032,1065.6,10274151.45835112,2363.054835420758,38566.63460342013,9641.658650855032,878.69,8472029.039919809,1948.566679181556,south,10274151.45835112,2363.054835420758
Gebouw.13982158,https://data.vlaanderen.be/id/gebouw/13982158,13982158,2023-11-02 16:42:58,IngemetenGRB,Gerealiseerd,38116.27459472795,177680.52078104575,175330.95636051035,5,22869.76475683677,5717.441189209192,1081.6,6183984.390248662,1422.3164097571923,22869.76475683677,5717.441189209192,890.55,5091667.251050246,1171.0834677415567,south,6183984.390248662,1422.3164097571923
Gebouw.14571806,https://data.vlaanderen.be/id/gebouw/14571806,14571806,2024-04-10 17:08:28,IngemetenGRB,Gerealiseerd,35396.73234128464,173967.21756680324,176240.60769065015,6,21238.03940477078,5309.509851192695,1076.28,5714519.262641674,1314.339430407585,21238.03940477078,5309.509851192695,886.06,4704544.298747799,1082.045188711994,south,5714519.262641674,1314.339430407585
Gebouw.19742794,https://data.vlaanderen.be/id/gebouw/19742794,19742794,2023-11-03 05:02:42,IngemetenGRB,Gerealiseerd,29947.837363621264,175586.99672192364,170630.37481908363,7,17968.702418172757,4492.175604543189,1084.99,4873965.609173315,1121.0120901098624,17968.702418172757,4492.175604543189,892.93,4011198.36256475,922.5756233898925,south,4873965.609173315,1121.0120901098624
Gebouw.14081549,https://data.vlaanderen.be/id/gebouw/14081549,14081549,2023-11-02 17:01:51,IngemetenGRB,Gehistoreerd,22307.81857477239,175614.76531742737,170623.45038818152,9,13384.691144863435,3346.1727862158587,1084.99,3630564.0113163446,835.0297226027593,13384.691144863435,3346.1727862158587,892.93,2987898.0659957263,687.2165551790171,south,3630564.0113163446,835.0297226027593
Gebouw.13921712,https://data.vlaanderen.be/id/gebouw/13921712,13921712,2023-11-02 13:57:21,IngemetenGRB,Gehistoreerd,22419.671796571998,173116.82342116677,179242.69300635954,8,13451.8030779432,3362.9507694858,1062.28,3572395.3434093753,821.6509289841564,13451.8030779432,3362.9507694858,875.4549999999999,2944112.0659001907,677.145775157044,south,3572395.3434093753,821.6509289841564
Gebouw.19740693,https://data.vlaanderen.be/id/gebouw/19740693,19740693,2025-06-21 00:47:50,IngemetenGRB,Gerealiseerd,21395.952432554972,171350.26963826845,174448.12388199772,10,12837.571459532983,3209.3928648832457,1065.62,3419993.224676884,786.5984416756833,12837.571459532983,3209.3928648832457,878.73,2820189.7921588547,648.6436521965367,south,3419993.224676884,786.5984416756833
Gebouw.19738853,https://data.vlaanderen.be/id/gebouw/19738853,19738853,2025-12-10 12:58:56,IngemetenGRB,Gerealiseerd,20010.153760128796,173682.02863334908,175816.08193947986,11,12006.092256077278,3001.5230640193195,1071.91,3217362.587552949,739.9933951371783,12006.092256077278,3001.5230640193195,882.99,2650314.850298419,609.5724155686364,south,3217362.587552949,739.9933951371783
Gebouw.19740151,https://data.vlaanderen.be/id/gebouw/19740151,19740151,2024-04-15 17:06:30,IngemetenGRB,Gerealiseerd,19750.47118784952,173124.16317773517,179225.92922578764,12,11850.282712709713,2962.5706781774284,1062.27,3147049.9543075366,723.8214894907335,11850.282712709713,2962.5706781774284,875.4549999999999,2593597.3130638204,596.5273820046788,south,3147049.9543075366,723.8214894907335
Gebouw.19741109,https://data.vlaanderen.be/id/gebouw/19741109,19741109,2023-11-03 04:53:27,IngemetenGRB,Gerealiseerd,16522.53295410894,175264.34155152575,170710.3074635896,14,9913.519772465364,2478.379943116341,1084.42,2687604.777914223,618.1490989202713,9913.519772465364,2478.379943116341,892.72,2212499.34281882,508.87484884832855,south,2687604.777914223,618.1490989202713
Gebouw.19740655,https://data.vlaanderen.be/id/gebouw/19740655,19740655,2023-11-03 04:53:18,IngemetenGRB,Gerealiseerd,16582.794809213327,171839.2347927395,172970.83083129846,13,9949.676885527995,2487.419221381999,1065.68,2650792.9158423687,609.6823706437448,9949.676885527995,2487.419221381999,878.665,2185608.2101556137,502.6898883357912,south,2650792.9158423687,609.6823706437448
Gebouw.14207657,https://data.vlaanderen.be/id/gebouw/14207657,14207657,2023-11-02 16:21:59,IngemetenGRB,Gerealiseerd,15060.261085116585,171726.24068625187,175123.5095395242,15,9036.15665106995,2259.0391627674876,1064.44,2404611.6464162245,553.0606786757317,9036.15665106995,2259.0391627674876,878.27,1984046.3254838013,456.33065486127435,south,2404611.6464162245,553.0606786757317
Gebouw.19740414,https://data.vlaanderen.be/id/gebouw/19740414,19740414,2023-11-03 04:53:14,IngemetenGRB,Gerealiseerd,14786.56635490001,174013.25841295684,173519.92218827808,16,8871.939812940005,2217.9849532350013,1076.2,2386995.4066715087,549.008943534447,8871.939812940005,2217.9849532350013,886.135,1965434.0965348978,452.0498422030265,south,2386995.4066715087,549.008943534447
Gebouw.14108718,https://data.vlaanderen.be/id/gebouw/14108718,14108718,2023-11-02 16:53:06,IngemetenGRB,Gehistoreerd,13455.109011964969,175292.07559448166,170681.9755374144,17,8073.065407178981,2018.2663517947453,1084.42,2188648.397213258,503.3891313590494,8073.065407178981,2018.2663517947453,892.7249999999999,1801756.8289059638,414.4040706483717,south,2188648.397213258,503.3891313590494
Gebouw.14097919,https://data.vlaanderen.be/id/gebouw/14097919,14097919,2023-11-02 17:06:35,IngemetenGRB,Gerealiseerd,13229.20432610933,174349.5889043304,177058.2063078048,18,7937.522595665598,1984.3806489163994,1064.94,2113246.3282570303,486.046655499117,7937.522595665598,1984.3806489163994,878.06,1742405.2725875336,400.7532126951328,south,2113246.3282570303,486.046655499117
Gebouw.14217187,https://data.vlaanderen.be/id/gebouw/14217187,14217187,2023-11-02 14:11:52,IngemetenGRB,Gehistoreerd,12147.596766979977,171322.1516886591,174430.48583486033,19,7288.5580601879865,1822.1395150469966,1066.16,1942692.265362506,446.81922103337644,7288.5580601879865,1822.1395150469966,878.95,1601569.5267505578,368.36099115262834,south,1942692.265362506,446.81922103337644
Gebouw.14019047,https://data.vlaanderen.be/id/gebouw/14019047,14019047,2023-11-02 16:44:05,IngemetenGRB,Gerealiseerd,11857.778636644736,173917.51883426518,176700.92476009455,20,7114.667181986842,1778.6667954967104,1064.89,1894084.4838564922,435.6394312869932,7114.667181986842,1778.6667954967104,878.0799999999999,1561811.7397897514,359.21670015164284,south,1894084.4838564922,435.6394312869932
Gebouw.15019115,https://data.vlaanderen.be/id/gebouw/15019115,15019115,2023-11-02 16:34:01,IngemetenGRB,Gerealiseerd,11391.88102552919,176001.00727767238,170617.9347467641,21,6835.128615317514,1708.7821538293786,1084.98,1853994.461261799,426.4187260902138,6835.128615317514,1708.7821538293786,892.925,1525814.3047080978,350.93729008286255,south,1853994.461261799,426.4187260902138
Gebouw.15169001,https://data.vlaanderen.be/id/gebouw/15169001,15169001,2023-11-02 16:39:58,IngemetenGRB,Gerealiseerd,11066.556898169396,174088.5687458696,173101.34129263496,22,6639.934138901637,1659.9835347254093,1076.14,1786374.6810594022,410.8661766436625,6639.934138901637,1659.9835347254093,886.1400000000001,1470977.8094615743,338.3248961761621,south,1786374.6810594022,410.8661766436625
Gebouw.14070280,https://data.vlaanderen.be/id/gebouw/14070280,14070280,2023-11-02 14:09:38,IngemetenGRB,Gehistoreerd,11034.351914566987,174010.08617859383,173536.60769369698,23,6620.611148740192,1655.152787185048,1076.2,1781275.4295685487,409.6933488007662,6620.611148740192,1655.152787185048,886.135,1466688.8150722226,337.3384274666112,south,1781275.4295685487,409.6933488007662
